t,x,y,z
0,0.05636956,0.013008,-0.033694
0.1,0.055905496,0.012123246,-0.02879112
0.2,0.055428732,0.011247922,-0.023817655
0.3,0.054939303,0.010382449,-0.018774855
0.4,0.054437251,0.009527243,-0.013664002
0.5,0.053922626,0.008682722,-0.008486404
0.6,0.053395485,0.007849297,-0.003243403
0.7,0.052855892,0.007027381,0.002063632
0.8,0.05230392,0.00621738,0.007433303
0.9,0.051739646,0.0054197,0.012864183
1,0.051163157,0.004634744,0.018354818
1.1,0.050574547,0.00386291,0.023903725
1.2,0.049973917,0.003104594,0.029509395
1.3,0.049361374,0.002360189,0.035170294
1.4,0.048737034,0.001630082,0.040884858
1.5,0.048101019,0.00091466,0.046651501
1.6,0.047453458,0.000214303,0.052468609
1.7,0.046794489,-0.000470612,0.058334547
1.8,0.046124254,-0.001139713,0.064247652
1.9,0.045442905,-0.00179263,0.070206241
2,0.0447506,-0.002429001,0.076208605
2.1,0.044047502,-0.003048466,0.082253015
2.2,0.043333783,-0.003650671,0.088337718
2.3,0.042609622,-0.004235266,0.094460941
2.4,0.041875203,-0.004801907,0.100620891
2.5,0.041130719,-0.005350255,0.106815753
2.6,0.040376367,-0.005879976,0.113043694
2.7,0.039612353,-0.006390742,0.119302862
2.8,0.038838889,-0.00688223,0.125591385
2.9,0.038056191,-0.007354122,0.131907377
3,0.037264485,-0.007806109,0.13824893
3.1,0.036464001,-0.008237884,0.144614125
3.2,0.035654976,-0.008649149,0.151001023
3.3,0.034837652,-0.00903961,0.157407672
3.4,0.034012279,-0.009408983,0.163832105
3.5,0.033179112,-0.009756985,0.170272343
3.6,0.032338411,-0.010083344,0.176726391
3.7,0.031490443,-0.010387794,0.183192243
3.8,0.030635481,-0.010670074,0.189667884
3.9,0.029773801,-0.010929931,0.196151283
4,0.028905689,-0.011167119,0.202640403
4.1,0.028031431,-0.0113814,0.209133195
4.2,0.027151323,-0.01157254,0.215627603
4.3,0.026265663,-0.011740317,0.222121563
4.4,0.025374756,-0.011884512,0.228613
4.5,0.024478911,-0.012004917,0.235099837
4.6,0.023578442,-0.012101328,0.24157999
4.7,0.022673668,-0.012173553,0.248051367
4.8,0.021764912,-0.012221403,0.254511876
4.9,0.020852502,-0.012244701,0.260959417
5,0.019936771,-0.012243276,0.26739189
5.1,0.019018054,-0.012216963,0.273807193
5.2,0.018096693,-0.012165609,0.28020322
5.3,0.017173033,-0.012089067,0.286577867
5.4,0.016247421,-0.011987197,0.29292903
5.5,0.01532021,-0.01185987,0.299254603
5.6,0.014391756,-0.011706963,0.305552485
5.7,0.013462418,-0.011528362,0.311820576
5.8,0.012532558,-0.011323962,0.318056778
5.9,0.011602544,-0.011093667,0.324259
