t,x,y,z
0,0,0,0
0.561,-0.5342,-1.2819,0.6696
5.613,0.4351,-2.7688,1.8913
7.297,0.9199,-2.5753,3.4441
10.945,0.142,-1.7027,2.5692
12.909,0.7239,-1.5092,2.1802
15.435,0.2378,-1.801,2.9561
16.838,-0.1512,-1.122,1.8877
19.083,0.3334,-2.3851,2.9549
21.89,-0.347,-3.8422,2.2744
23.854,0.429,-2.2895,2.9534
26.099,0.234,-1.9018,2.5643
28.625,-0.1548,-3.553,3.7285
30.87,0.4269,-3.2624,3.5336
32.834,0.4263,-2.9718,2.7563
34.799,0.6198,-1.4192,2.6586
37.325,0.4247,-2.9732,2.7548
39.57,0.424,-3.3623,2.3657
42.095,-0.0622,-2.9749,3.53
44.621,1.4903,-2.9756,3.335
50.234,0.5177,-4.0455,3.4303
52.198,1.0994,-4.8228,3.4296
54.724,1.1958,-4.6295,3.1375
61.179,0.9024,-4.2433,2.5529
64.266,0.8044,-4.0499,2.9403
66.511,0.3182,-5.2224,2.5512
71.001,0.8993,-3.5731,4.3944
73.527,0.4131,-4.1565,4.1023
75.491,0.024,-3.2839,3.325
78.297,-0.074,-3.3821,3.8095
84.752,0.3123,-2.509,4.1958
86.997,-0.6593,-2.2208,3.6125
90.645,0.0192,-2.4179,3.9997
93.171,-1.2438,-2.3229,3.028
96.258,-0.1769,-3.1988,3.5124
100.187,-0.7607,-3.687,3.1228
102.432,0.1124,-2.5249,3.6075
112.254,-0.3762,-2.1394,2.4393
120.954,0.3977,-3.3067,1.9511
127.128,0.8811,-2.0468,2.7258
133.302,1.3644,-2.244,3.3063
142.002,0.0994,-2.2445,1.653
151.824,-0.0007,-0.9846,1.4556
160.804,-0.489,-0.8895,1.3556
167.54,-0.2,-1.2798,1.8389
173.994,0.3805,-3.9034,1.4485
183.536,0.6687,-4.488,1.3483
184.659,0.6681,-4.6826,0.6683
192.236,0.5689,-3.3252,1.6367
198.69,1.6347,-2.6479,2.5084
204.022,1.827,-2.8443,2.2154
210.196,2.116,-2.7497,1.1455
216.932,1.6285,-1.8779,-0.4101
218.896,2.7933,-0.0354,1.2397
225.07,2.7912,-0.5229,1.6261
231.525,1.8181,0.8341,0.8473
238.541,2.0102,1.9001,1.3305
246.96,0.9396,0.1504,0.6481
252.572,0.9377,0.0529,0.5492
259.308,3.0713,-0.0462,1.7121
265.762,2.1955,-2.0872,0.8362
271.936,2.6788,-2.8443,0.1546
278.391,2.5794,-2.7497,1.6088
285.126,1.995,-1.8779,-0.5293
287.091,3.451,-0.0354,1.7031
292.703,1.7984,-0.5229,0.4392
300,1.6021,0.8341,0.2426
